,Date,High,Low,Open,Close,Volume,Adj Close,Ticker,Security,Sector,1_Day_Close_Change,1_Week_Close_Change,1_Month_Close_Change,1_Day_Volume_Change,1_Week_Volume_Change,1_Month_Volume_Change,Day_Class,Month_Class,Week_Class
0,2009-12-31,43.58000183105469,42.810001373291016,43.4900016784668,42.849998474121094,864500,42.849998474121094,VRTX,Vertex Pharmaceuticals Inc,health_care,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
1,2010-01-01,44.2400016784668,42.79999923706055,42.849998474121094,44.2400016784668,1744900,44.2400016784668,VRTX,Vertex Pharmaceuticals Inc,health_care,0.032438815725633896,0.0,0.0,1.018392134181608,0.0,0.0,1,1,1
2,2010-01-02,44.2400016784668,42.79999923706055,42.849998474121094,44.2400016784668,1744900,44.2400016784668,VRTX,Vertex Pharmaceuticals Inc,health_care,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
3,2010-01-03,44.2400016784668,42.79999923706055,42.849998474121094,44.2400016784668,1744900,44.2400016784668,VRTX,Vertex Pharmaceuticals Inc,health_care,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
4,2010-01-04,44.2400016784668,42.79999923706055,42.849998474121094,44.2400016784668,1744900,44.2400016784668,VRTX,Vertex Pharmaceuticals Inc,health_care,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
5,2010-01-05,43.349998474121094,42.5,43.060001373291016,42.77999877929688,2456500,42.77999877929688,VRTX,Vertex Pharmaceuticals Inc,health_care,-0.033001872598945936,0.0,0.0,0.4078170668806236,0.0,0.0,0,1,1
6,2010-01-06,42.86999893188477,41.86000061035156,42.5099983215332,42.02999877929688,2313700,42.02999877929688,VRTX,Vertex Pharmaceuticals Inc,health_care,-0.017531557302497114,0.0,0.0,-0.05813148788927336,0.0,0.0,0,1,1
7,2010-01-07,42.4900016784668,41.43999862670898,42.0,41.5,1873200,41.5,VRTX,Vertex Pharmaceuticals Inc,health_care,-0.012610011769925378,-0.031505216387263446,0.0,-0.1903876907118468,1.1668016194331985,0.0,0,1,0
8,2010-01-08,41.5,40.40999984741211,41.45000076293945,40.66999816894531,3687900,40.66999816894531,VRTX,Vertex Pharmaceuticals Inc,health_care,-0.020000044121799676,-0.08069627879917407,0.0,0.9687700192184496,1.1135308613674137,0.0,0,1,0
9,2010-01-09,42.13000106811523,40.5,40.810001373291016,41.83000183105469,2193100,41.83000183105469,VRTX,Vertex Pharmaceuticals Inc,health_care,0.02852234360303285,-0.05447558218753734,0.0,-0.4053255240109548,0.2568628574703422,0.0,1,1,0
