,Date,High,Low,Open,Close,Volume,Adj Close,Ticker,Security,Sector,1_Day_Close_Change,1_Week_Close_Change,1_Month_Close_Change,1_Day_Volume_Change,1_Week_Volume_Change,1_Month_Volume_Change,Day_Class,Month_Class,Week_Class
0,2009-12-31,6.079999923706055,5.989999771118164,6.03000020980835,5.989999771118164,1108200,5.989999771118164,CDNS,Cadence Design Systems,information_technology,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
1,2010-01-01,6.119999885559082,5.949999809265138,6.010000228881836,6.119999885559082,3089200,6.119999885559082,CDNS,Cadence Design Systems,information_technology,0.021702857998048053,0.0,0.0,1.7875834686879624,0.0,0.0,1,1,1
2,2010-01-02,6.119999885559082,5.949999809265138,6.010000228881836,6.119999885559082,3089200,6.119999885559082,CDNS,Cadence Design Systems,information_technology,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
3,2010-01-03,6.119999885559082,5.949999809265138,6.010000228881836,6.119999885559082,3089200,6.119999885559082,CDNS,Cadence Design Systems,information_technology,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
4,2010-01-04,6.119999885559082,5.949999809265138,6.010000228881836,6.119999885559082,3089200,6.119999885559082,CDNS,Cadence Design Systems,information_technology,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
5,2010-01-05,6.119999885559082,5.96999979019165,6.119999885559082,6.059999942779541,3981800,6.059999942779541,CDNS,Cadence Design Systems,information_technology,-0.00980391240220746,0.0,0.0,0.28894212093745963,0.0,0.0,0,1,1
6,2010-01-06,6.199999809265138,6.019999980926514,6.039999961853027,6.130000114440918,4317700,6.130000114440918,CDNS,Cadence Design Systems,information_technology,0.011551183551541389,0.0,0.0,0.08435883268873368,0.0,0.0,1,1,1
7,2010-01-07,6.289999961853027,6.0900001525878915,6.0999999046325675,6.25,4079900,6.25,CDNS,Cadence Design Systems,information_technology,0.019575837409266716,0.043405715996096106,0.0,-0.0550756189638002,2.6815556758707815,0.0,1,1,1
8,2010-01-08,6.360000133514403,6.21999979019165,6.260000228881836,6.3400001525878915,2336100,6.3400001525878915,CDNS,Cadence Design Systems,information_technology,0.01440002441406274,0.03594775672266404,0.0,-0.4274124365793279,-0.243784798653373,0.0,1,1,1
9,2010-01-09,6.420000076293945,6.300000190734862,6.3499999046325675,6.3400001525878915,4409300,6.3400001525878915,CDNS,Cadence Design Systems,information_technology,0.0,0.03594775672266404,0.0,0.8874620093317922,0.4273274634209505,0.0,1,1,1
10,2010-01-10,6.420000076293945,6.300000190734862,6.3499999046325675,6.3400001525878915,4409300,6.3400001525878915,CDNS,Cadence Design Systems,information_technology,0.0,0.03594775672266404,0.0,0.0,0.4273274634209505,0.0,1,1,1
11,2010-01-11,6.420000076293945,6.300000190734862,6.3499999046325675,6.3400001525878915,4409300,6.3400001525878915,CDNS,Cadence Design Systems,information_technology,0.0,0.03594775672266404,0.0,0.0,0.4273274634209505,0.0,1,1,1
12,2010-01-12,6.3400001525878915,6.1599998474121085,6.3400001525878915,6.199999809265138,3100600,6.199999809265138,CDNS,Cadence Design Systems,information_technology,-0.02208207254783867,0.023102288417082617,0.0,-0.2968044814369628,-0.22130694660706218,0.0,0,1,1
13,2010-01-13,6.4099998474121085,6.199999809265138,6.21999979019165,6.389999866485597,3328000,6.389999866485597,CDNS,Cadence Design Systems,information_technology,0.03064517146218737,0.04241431438674481,0.0,0.07334064374637173,-0.22921926025430206,0.0,1,1,1
14,2010-01-14,6.389999866485597,6.25,6.3499999046325675,6.320000171661378,2326700,6.320000171661378,CDNS,Cadence Design Systems,information_technology,-0.010954569058968966,0.011200027465820384,0.0,-0.30087139423076925,-0.42971641461800536,0.0,0,1,1
15,2010-01-15,6.329999923706055,6.1599998474121085,6.289999961853027,6.21999979019165,2212300,6.21999979019165,CDNS,Cadence Design Systems,information_technology,-0.015822844739486697,-0.018927501499705568,0.0,-0.04916835002363862,-0.052994306750567155,0.0,0,1,0
