Date,High,Low,Open,Close,Volume,Adj Close
2009-12-31,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-04,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-05,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-06,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-07,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-08,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-11,7.0,7.0,7.0,7.0,0.0,3.7367970943450928
2010-01-12,7.0,7.0,7.0,7.0,0.0,3.7367970943450928
2010-01-13,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-14,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-15,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-19,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-20,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-21,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-22,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-25,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-26,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-27,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-28,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-01-29,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-02-01,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-02-02,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-02-03,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-02-04,6.0,6.0,6.0,6.0,0.0,3.2029690742492676
2010-02-05,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-02-08,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-02-09,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-02-10,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-02-11,7.0,7.0,7.0,7.0,0.0,3.7367970943450928
2010-02-12,7.0,7.0,7.0,7.0,0.0,3.7367970943450928
2010-02-16,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-02-17,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-02-18,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-02-19,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-02-22,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-02-23,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-02-24,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-02-25,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-02-26,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-03-01,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-03-02,8.5,8.5,8.5,8.5,0.0,4.537538528442383
2010-03-03,8.5,8.5,8.5,8.5,0.0,4.6693806648254395
2010-03-04,8.5,8.5,8.5,8.5,0.0,4.6693806648254395
2010-03-05,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-03-08,8.5,8.5,8.5,8.5,0.0,4.6693806648254395
2010-03-09,8.5,8.5,8.5,8.5,0.0,4.6693806648254395
2010-03-10,8.5,8.5,8.5,8.5,0.0,4.6693806648254395
2010-03-11,7.0,7.0,7.0,7.0,0.0,3.8453726768493652
2010-03-12,7.0,7.0,7.0,7.0,0.0,3.8453726768493652
2010-03-15,7.5,7.5,7.5,7.5,0.0,4.120039939880371
2010-03-16,7.5,7.5,7.5,7.5,0.0,4.120039939880371
2010-03-17,7.5,7.5,7.5,7.5,0.0,4.120039939880371
2010-03-18,7.5,7.5,7.5,7.5,0.0,4.120039939880371
2010-03-19,7.5,7.5,7.5,7.5,0.0,4.120039939880371
2010-03-22,7.5,7.5,7.5,7.5,0.0,4.120039939880371
2010-03-23,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-03-24,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-03-25,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-03-26,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-03-29,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-03-30,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-03-31,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-01,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-05,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-06,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-07,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-08,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-09,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-12,6.0,6.0,6.0,6.0,112760.0,3.2960338592529297
2010-04-13,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-14,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-15,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-16,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-19,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-20,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-21,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-22,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-23,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-26,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-27,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-28,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-29,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-04-30,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-05-03,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-05-04,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-05-05,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-05-06,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-05-07,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-05-10,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-05-11,7.0,7.0,7.0,7.0,0.0,3.8453726768493652
2010-05-12,6.0,6.0,6.0,6.0,0.0,3.2960338592529297
2010-05-13,6.5,6.5,6.5,6.5,0.0,3.5707027912139893
2010-05-14,6.5,6.5,6.5,6.5,0.0,3.5707027912139893
2010-05-17,6.5,6.5,6.5,6.5,0.0,3.5707027912139893
2010-05-18,6.5,6.5,6.5,6.5,0.0,3.5707027912139893
2010-05-19,6.5,6.5,6.5,6.5,0.0,3.5707027912139893
2010-05-20,6.5,6.5,6.5,6.5,0.0,3.5707027912139893
2010-05-21,6.5,6.5,6.5,6.5,0.0,3.5707027912139893
2010-05-24,6.5,6.5,6.5,6.5,0.0,3.5707027912139893
2010-05-25,6.5,6.5,6.5,6.5,0.0,3.5707027912139893
2010-05-26,6.5,6.5,6.5,6.5,0.0,3.5707027912139893
2010-05-27,6.5,6.5,6.5,6.5,0.0,3.5707027912139893
2010-05-28,6.5,6.5,6.5,6.5,0.0,3.5707027912139893
2010-06-01,6.5,6.5,6.5,6.5,0.0,3.5707027912139893
2010-06-02,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-03,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-04,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-07,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-08,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-09,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-10,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-11,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-14,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-15,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-16,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-17,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-18,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-21,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-22,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-23,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-24,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-25,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-28,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-29,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-06-30,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-07-01,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-07-02,6.5,6.5,6.5,6.5,0.0,3.7075984477996826
2010-07-06,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-07,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-08,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-09,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-12,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-13,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-14,7.0,6.050000190734863,7.0,7.0,5000.0,3.9927992820739746
2010-07-15,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-16,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-19,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-20,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-21,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-22,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-23,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-26,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-27,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-28,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-29,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-07-30,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-08-02,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-08-03,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-08-04,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-08-05,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-08-06,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-08-09,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-08-10,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-08-11,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-08-12,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-08-13,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-08-16,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-08-17,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-08-18,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-08-19,7.0,7.0,7.0,7.0,0.0,3.9927992820739746
2010-08-20,6.0,6.0,6.0,6.0,0.0,3.4223992824554443
2010-08-23,6.0,6.0,6.0,6.0,0.0,3.4223992824554443
2010-08-24,6.0,6.0,6.0,6.0,0.0,3.4223992824554443
2010-08-25,6.0,6.0,6.0,6.0,0.0,3.4223992824554443
2010-08-26,6.0,6.0,6.0,6.0,0.0,3.4223992824554443
2010-08-27,6.0,6.0,6.0,6.0,0.0,3.4223992824554443
2010-08-30,6.0,6.0,6.0,6.0,0.0,3.4223992824554443
