,Date,High,Low,Open,Close,Volume,Adj Close,Ticker,Security,Sector,1_Day_Close_Change,1_Week_Close_Change,1_Month_Close_Change,1_Day_Volume_Change,1_Week_Volume_Change,1_Month_Volume_Change,Day_Class,Month_Class,Week_Class
0,2009-12-31,41.63000106811523,40.66999816894531,41.25,40.77000045776367,173900,40.77000045776367,ESL,Esterline Technologies,industrials,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
1,2010-01-01,41.47999954223633,40.97000122070313,41.34000015258789,41.47000122070313,338800,41.47000122070313,ESL,Esterline Technologies,industrials,0.017169505888640746,0.0,0.0,0.9482461184588844,0.0,0.0,1,1,1
2,2010-01-02,41.47999954223633,40.97000122070313,41.34000015258789,41.47000122070313,338800,41.47000122070313,ESL,Esterline Technologies,industrials,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
3,2010-01-03,41.47999954223633,40.97000122070313,41.34000015258789,41.47000122070313,338800,41.47000122070313,ESL,Esterline Technologies,industrials,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
4,2010-01-04,41.47999954223633,40.97000122070313,41.34000015258789,41.47000122070313,338800,41.47000122070313,ESL,Esterline Technologies,industrials,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
5,2010-01-05,41.5,40.47000122070313,41.5,41.04999923706055,267000,41.04999923706055,ESL,Esterline Technologies,industrials,-0.01012785076632472,0.0,0.0,-0.21192443919716653,0.0,0.0,0,1,1
6,2010-01-06,42.0,40.72000122070313,40.88000106811523,41.099998474121094,362600,41.099998474121094,ESL,Esterline Technologies,industrials,0.001218008233613066,0.0,0.0,0.3580524344569289,0.0,0.0,1,1,1
7,2010-01-07,41.31999969482422,40.709999084472656,40.810001373291016,41.040000915527344,151000,41.040000915527344,ESL,Esterline Technologies,industrials,-0.0014597946671829343,0.006622527709887693,0.0,-0.5835631549917264,-0.13168487636572745,0.0,0,1,1
8,2010-01-08,41.0099983215332,40.29999923706055,40.77999877929688,41.0099983215332,206300,41.0099983215332,ESL,Esterline Technologies,industrials,-0.0007310573422231181,-0.011092425503481329,0.0,0.36622516556291385,-0.391086186540732,0.0,0,1,0
9,2010-01-09,41.349998474121094,40.290000915527344,41.0,40.77000045776367,265900,40.77000045776367,ESL,Esterline Technologies,industrials,-0.005852179312173078,-0.01687968995260114,0.0,0.28889966068831807,-0.2151711924439197,0.0,0,1,0
